name,description,url,cleaned_desc
ParlAI,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,https://github.com/facebookresearch/ParlAI,framework for training and evaluating AI models on a variety of openly available dialogue datasets.
ai-pdf-chatbot-langchain,LangChain & LangGraph AI PDF chatbot agent,https://github.com/mayooear/ai-pdf-chatbot-langchain,LangChain & LangGraph AI PDF chatbot agent
ImageAI,A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities,https://github.com/OlafenwaMoses/ImageAI,python library built to empower developers to build applications and systems with self-contained Computer Vision capabilities
AI,artificial intelligence on python!,https://github.com/myuon/AI,artificial intelligence on python!
ai,bash script to install Artifical Images materials,https://github.com/dvschultz/ai,bash script to install Artifical Images materials
RagaAI-Catalyst,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view ",https://github.com/raga-ai-hub/RagaAI-Catalyst,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework."
crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/mEkkMXFG",https://github.com/unclecode/crawl4ai,Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper.
kirara-ai,🤖 可 DIY 的 多模态 AI 聊天机器人 | 🚀 快速接入 微信、 QQ、Telegram、等聊天平台 | 🦈支持DeepSeek、Grok、Claude、Ollama、Gemini、OpenAI | 工作流系统、网页搜索、AI画图、人设调教、虚拟女仆、语音对话 | ,https://github.com/lss233/kirara-ai,DeepSeekGrokClaudeOllamaGeminiOpenAI
TabNine,AI Code Completions,https://github.com/codota/TabNine,Code Completions
aimoneyhunter,ai副业赚钱大集合，教你如何利用ai做一些副业项目，赚取更多额外收益。The Ultimate Guide to Making Money with AI Side Hustles: Learn how to leverage AI for some cool side gigs and rake in some extra cash. Check out the English version for more insights.,https://github.com/bleedline/aimoneyhunter,Ultimate Guide to Making Money with AI Side Hustles: Learn how to leverage AI for some cool side gigs and rake in some extra cash. Check out the English version for more insights.
pinokio,AI Browser,https://github.com/pinokiocomputer/pinokio,Browser
mindsdb,AI's query engine - Platform for building AI that can learn and answer questions over large scale federated data.,https://github.com/mindsdb/mindsdb,s query engine - Platform for building AI that can learn and answer questions over large scale federated data.
AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2022,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in
ai,像查询数据库一样优雅调用人工智能API,https://github.com/huanghe/ai,API
ai-collection,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,https://github.com/ai-collection/ai-collection,Generative AI Landscape - A Collection of Awesome Generative AI Applications
NextChat,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,https://github.com/ChatGPTNextWeb/NextChat,Light and Fast AI Assistant.
Perplexica,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,https://github.com/ItzCrazyKns/Perplexica,Perplexica is an AI-powered search engine.
AirCash,Cash system for AIR.,https://github.com/Aircoin-official/AirCash,Cash system for AIR.
AidLearning-FrameWork,"🔥🔥🔥AidLearning is a powerful AIOT development platform, AidLearning builds a linux env supporting GUI, deep learning and visual IDE on Android...Now Aid supports CPU+GPU+NPU for inference with high performance acceleration...Linux on Android or HarmonyOS ",https://github.com/aidlearning/AidLearning-FrameWork,"dLearning is a powerful AIOT development platform, AidLearning builds a linux env supporting GUI, deep learning and visual IDE on Android. Now Aid supports CPU+GPU+NPU for inference with high performance acceleration."
xiaozhi-esp32,Build your own AI friend,https://github.com/78/xiaozhi-esp32,Build your own AI friend
ailab,"Experience, Learn and Code the latest breakthrough innovations with Microsoft AI",https://github.com/microsoft/ailab,"Experience, Learn and Code the latest breakthrough innovations with Microsoft AI"
Mr.-Ranedeer-AI-Tutor,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
E2B,Secure open source cloud runtime for AI apps & AI agents,https://github.com/e2b-dev/E2B,Secure open source cloud runtime for AI apps & AI agents
Airtest,UI Automation Framework for Games and Apps,https://github.com/AirtestProject/Airtest,UI Automation Framework for Games and Apps
aisuite,"Simple, unified interface to multiple Generative AI providers ",https://github.com/andrewyng/aisuite,"Simple, unified interface to multiple Generative AI providers"
AI-Scientist,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery 🧑‍🔬,https://github.com/SakanaAI/AI-Scientist,AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery
StableLM,StableLM: Stability AI Language Models,https://github.com/Stability-AI/StableLM,StableLM: Stability AI Language Models
anything-llm,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, and more.",https://github.com/Mintplex-Labs/anything-llm,"all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, and more."
air,☁️ Live reload for Go apps,https://github.com/air-verse/air,Live reload for Go apps
aimto408,🇨🇳🇨🇳🇨🇳这个repo是为了那些准备死磕 计算机考研 4️⃣0️⃣8️⃣的考研党准备的，当然你如果4门课中的部分也可以看看，欢迎star📝📝📝，祝你们一战成硕🏆🏆🏆~~（更新23年大纲变化----2023年408和数学基本无变化）,https://github.com/xiaolei565/aimto408,repo 4 0 8 4star23----2023408
airgeddon,This is a multi-use bash script for Linux systems to audit wireless networks.,https://github.com/v1s1t0r1sh3r3/airgeddon,a multi-use bash script for Linux systems to audit wireless networks.
susi_android,SUSI.AI Android App https://play.google.com/apps/testing/ai.susi,https://github.com/fossasia/susi_android,SUSI.
kong,🦍 The Cloud-Native API Gateway and AI Gateway.,https://github.com/Kong/kong,Cloud-Native API Gateway and AI Gateway.
vim-airline,lean & mean status/tabline for vim that's light as air,https://github.com/vim-airline/vim-airline,lean & mean statustabline for vim thats light as air
MONAI,AI Toolkit for Healthcare Imaging,https://github.com/Project-MONAI/MONAI,Toolkit for Healthcare Imaging
aircraft,The A32NX & A380X Project are community driven open source projects to create free Airbus aircraft in Microsoft Flight Simulator that are as close to reality as possible.,https://github.com/flybywiresim/aircraft,A32NX & A380X Project are community driven open source projects to create free Airbus aircraft in Microsoft Flight Simulator that are as close to reality as possible.
aidea,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,https://github.com/mylxsw/aidea,dea GPT Stable Diffusion SDXL1.
StableStudio,Community interface for generative AI,https://github.com/Stability-AI/StableStudio,Community interface for generative AI
web-ui,Run AI Agent in your browser.,https://github.com/browser-use/web-ui,Run AI Agent in your browser.
course-v3,The 3rd edition of course.fast.ai,https://github.com/fastai/course-v3,3rd edition of course.
AisenWeiBo,新浪微博第三方Android客户端,https://github.com/wangdan/AisenWeiBo,Android
phoenix,AI Observability & Evaluation,https://github.com/Arize-ai/phoenix,Observability & Evaluation
ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,https://github.com/ray-project/ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
awesome-ai-agents,A list of AI autonomous agents,https://github.com/e2b-dev/awesome-ai-agents,list of AI autonomous agents
AI,机器学习、深度学习、自然语言处理、计算机视觉等AI领域相关技术的算法推导及应用,https://github.com/excelsimon/AI,
ai-deadlines,:alarm_clock: AI conference deadline countdowns ,https://github.com/paperswithcode/ai-deadlines,conference deadline countdowns
spring-ai,An Application Framework for AI Engineering,https://github.com/spring-projects/spring-ai,An Application Framework for AI Engineering
mage-ai,"🧙 Build, run, and manage data pipelines for integrating and transforming data.",https://github.com/mage-ai/mage-ai,"Build, run, and manage data pipelines for integrating and transforming data."
awesome-mcp-servers,A collection of MCP servers.,https://github.com/punkpeye/awesome-mcp-servers,collection of MCP servers.
fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,https://github.com/facebookresearch/fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.
ai-town,"A MIT-licensed, deployable starter kit for building and customizing your own version of AI town - a virtual town where AI characters live, chat and socialize.",https://github.com/a16z-infra/ai-town,"MIT-licensed, deployable starter kit for building and customizing your own version of AI town - a virtual town where AI characters live, chat and socialize."
docling,Get your documents ready for gen AI,https://github.com/DS4SD/docling,Get your documents ready for gen AI
chroma,the AI-native open-source embedding database,https://github.com/chroma-core/chroma,AI-native open-source embedding database
aiogram,aiogram is a modern and fully asynchronous framework for Telegram Bot API written in Python using asyncio,https://github.com/aiogram/aiogram,ogram is a modern and fully asynchronous framework for Telegram Bot API written in Python using asyncio
david-ai,"David AI is a free and open-source collection of customizable, production-ready UI components built with Tailwind CSS.",https://github.com/creativetimofficial/david-ai,"David AI is a free and open-source collection of customizable, production-ready UI components built with Tailwind CSS."
awesome-generative-ai-guide,"A one stop repository for generative AI research updates, interview resources, notebooks and much more!",https://github.com/aishwaryanr/awesome-generative-ai-guide,"one stop repository for generative AI research updates, interview resources, notebooks and much more!"
AgentGPT,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.",https://github.com/reworkd/AgentGPT,"Assemble, configure, and deploy autonomous AI Agents in your browser."
AiLearning-Theory-Applying,快速上手AI理论及应用实战：基础知识、Transformer、NLP、ML、DL、竞赛。含大量注释及数据集，力求每一位能看懂并复现。,https://github.com/ben1234560/AiLearning-Theory-Applying,TransformerNLPMLDL
AIChatWeb,在ChatGPT-Next-Web的基础上，增加注册登录，额度限制，邀请，敏感词，支付，基于docker一键部署。提供后台管理系统，可配置标题、欢迎词、额度不足提醒、公告,https://github.com/Nanjiren01/AIChatWeb,ChatGPT-Next-Webdocker
SerpentAI,Game Agent Framework. Helping you create AIs / Bots that learn to play any game you own!,https://github.com/SerpentAI/SerpentAI,Game Agent Framework. Helping you create AIs Bots that learn to play any game you own!
aimeos-laravel,"Laravel ecommerce package for ultra fast online shops, scalable marketplaces, complex B2B applications and #gigacommerce",https://github.com/aimeos/aimeos-laravel,"Laravel ecommerce package for ultra fast online shops, scalable marketplaces, complex B"
chainlit,Build Conversational AI in minutes ⚡️,https://github.com/Chainlit/chainlit,Build Conversational AI in minutes
BERT-pytorch,Google AI 2018 BERT pytorch implementation,https://github.com/codertimo/BERT-pytorch,BERT pytorch implementation
course22,The fast.ai course notebooks,https://github.com/fastai/course22,fast.
aiortc,WebRTC and ORTC implementation for Python using asyncio,https://github.com/aiortc/aiortc,WebRTC and ORTC implementation for Python using asyncio
apisix,The Cloud-Native API Gateway and AI Gateway,https://github.com/apache/apisix,Cloud-Native API Gateway and AI Gateway
AirplayServer,Android server for Airplay2,https://github.com/KqSMea8/AirplayServer,Android server for Airplay
core,AI agent microservice,https://github.com/cheshire-cat-ai/core,agent microservice
susi_server,SUSI.AI server backend - the Artificial Intelligence server for personal assistants  https://susi.ai,https://github.com/fossasia/susi_server,SUSI.
dalai,The simplest way to run LLaMA on your local machine,https://github.com/cocktailpeanut/dalai,simplest way to run LLaMA on your local machine
AirConnect,Use AirPlay to stream to UPnP/Sonos & Chromecast devices,https://github.com/philippe44/AirConnect,Use AirPlay to stream to UPnP
AI-Aimbot,"World's Best AI Aimbot - CS2, Valorant, Fortnite, APEX, every game",https://github.com/RootKit-Org/AI-Aimbot,s Best AI Aimbot - CS
air-datepicker,"Lightweight, dependency-free JavaScript datepicker.",https://github.com/t1m0n/air-datepicker,"Lightweight, dependency-free JavaScript datepicker."
AimTux,A large Linux csgo cheat/hack,https://github.com/AimTuxOfficial/AimTux,large Linux csgo cheat
aircrack-ng,WiFi security auditing tools suite,https://github.com/aircrack-ng/aircrack-ng,WiFi security auditing tools suite
project_openai_codex,Build and Deploy Your Own ChatGPT AI Application That Will Help You Code,https://github.com/adrianhajdin/project_openai_codex,Build and Deploy Your Own ChatGPT AI Application That Will Help You Code
companion-app,AI companions with memory: a lightweight stack to create and host your own AI companions,https://github.com/a16z-infra/companion-app,companions with memory: a lightweight stack to create and host your own AI companions
AI0x0.com,一个多模态多模型通用型的全局全能 AI 查询生成桌面悬浮助手应用,https://github.com/mushan0x0/AI0x0.com,AI
DeepLearning.ai-Summary,This repository contains my personal notes and summaries on DeepLearning.ai specialization courses. I've enjoyed every little bit of the course hope you enjoy my notes too.,https://github.com/mbadry1/DeepLearning.ai-Summary,This repository contains my personal notes and summaries on DeepLearning. Ive enjoyed every little bit of the course hope you enjoy my notes too.
AIX360,Interpretability and explainability of data and machine learning models,https://github.com/Trusted-AI/AIX360,Interpretability and explainability of data and machine learning models
sqlflow,Brings SQL and AI together.,https://github.com/sql-machine-learning/sqlflow,Brings SQL and AI together.
hbox,AI on Hadoop,https://github.com/Qihoo360/hbox,on Hadoop
WrenAI,"🤖 Open-source GenBI AI Agent that empowers data-driven teams to chat with their data to generate Text-to-SQL, charts, spreadsheets, reports, and BI. 📈📊📋🧑‍💻",https://github.com/Canner/WrenAI,"Open-source GenBI AI Agent that empowers data-driven teams to chat with their data to generate Text-to-SQL, charts, spreadsheets, reports, and BI."
street-fighter-ai,This is an AI agent for Street Fighter II Champion Edition.,https://github.com/linyiLYi/street-fighter-ai,an AI agent for Street Fighter II Champion Edition.
aicover,ai cover generator,https://github.com/all-in-aigc/aicover,cover generator
GenAI_Agents,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.",https://github.com/NirDiamant/GenAI_Agents,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems."
pydantic-ai,Agent Framework / shim to use Pydantic with LLMs,https://github.com/pydantic/pydantic-ai,shim to use Pydantic with LLMs
AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
sourcegraph-public-snapshot,Code AI platform with Code Search & Cody,https://github.com/sourcegraph/sourcegraph-public-snapshot,Code AI platform with Code Search & Cody
clarity-upscaler,Clarity AI | AI Image Upscaler & Enhancer - free and open-source Magnific Alternative,https://github.com/philz1337x/clarity-upscaler,Image Upscaler & Enhancer - free and open-source Magnific Alternative
ailab,,https://github.com/bilibili/ailab,
duix.ai,,https://github.com/GuijiAI/duix.ai,
oaqjp-final-project-emb-ai,final-project-emb-ai,https://github.com/ibm-developer-skills-network/oaqjp-final-project-emb-ai,final-project-emb-ai
awesome-ai-painting,AI绘画资料合集（包含国内外可使用平台、使用教程、参数教程、部署教程、业界新闻等等） Stable diffusion、AnimateDiff、Stable Cascade 、Stable SDXL Turbo,https://github.com/hua1995116/awesome-ai-painting,Stable diffusionAnimateDiffStable Cascade Stable SDXL Turbo
flower,Flower: A Friendly Federated AI Framework,https://github.com/adap/flower,Flower: A Friendly Federated AI Framework
BitTiger,来自硅谷的终身学习大学,https://github.com/Fabsqrt/BitTiger,
aiXcoder-7B,official repository of aiXcoder-7B Code Large Language Model,https://github.com/aixcoder-plugin/aiXcoder-7B,official repository of aiXcoder-
ai,,https://github.com/flutter/ai,
Swift-AI,The Swift machine learning library.,https://github.com/Swift-AI/Swift-AI,Swift machine learning library.
crewAI-examples,A collection of examples that show how to use CrewAI framework to automate workflows.,https://github.com/crewAIInc/crewAI-examples,collection of examples that show how to use CrewAI framework to automate workflows.
AICoverGen,A WebUI to create song covers with any RVC v2 trained AI voice from YouTube videos or audio files.,https://github.com/SociallyIneptWeeb/AICoverGen,WebUI to create song covers with any RVC v2 trained AI voice from YouTube videos or audio files.
machine-learning-engineering-for-production-public,Public repo for DeepLearning.AI MLEP Specialization,https://github.com/https-deeplearning-ai/machine-learning-engineering-for-production-public,Public repo for DeepLearning.
aicommits,A CLI that writes your git commit messages for you with AI,https://github.com/Nutlope/aicommits,CLI that writes your git commit messages for you with AI
MoneyPrinterTurbo,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,https://github.com/harry0703/MoneyPrinterTurbo,Generate short videos with one click using AI LLM.
awesome-ai-art-image-synthesis,"A list of awesome tools, ideas, prompt engineering tools, colabs, models, and helpers for the prompt designer playing with aiArt and image synthesis. Covers Dalle2, MidJourney, StableDiffusion, and open source tools.",https://github.com/altryne/awesome-ai-art-image-synthesis,"list of awesome tools, ideas, prompt engineering tools, colabs, models, and helpers for the prompt designer playing with aiArt and image synthesis. Covers Dalle2, MidJourney, StableDiffusion, and open source tools."
ell,A language model programming library.,https://github.com/MadcowD/ell,language model programming library.
susi_iOS,SUSI AI iOS app http://susi.ai,https://github.com/fossasia/susi_iOS,SUSI AI iOS app
datahub,The Metadata Platform for your Data and AI Stack,https://github.com/datahub-project/datahub,Metadata Platform for your Data and AI Stack
aiexperiments-ai-duet,A piano that responds to you.,https://github.com/googlecreativelab/aiexperiments-ai-duet,piano that responds to you.
susi_linux,Hardware for SUSI AI https://susi.ai,https://github.com/fossasia/susi_linux,Hardware for SUSI AI
serve,☁️ Build multimodal AI applications with cloud-native stack,https://github.com/jina-ai/serve,Build multimodal AI applications with cloud-native stack
bilingual_book_maker,Make bilingual epub books Using AI translate,https://github.com/yihong0618/bilingual_book_maker,Make bilingual epub books Using AI translate
airllm,AirLLM 70B inference with single 4GB GPU,https://github.com/lyogavin/airllm,B inference with single
openv0,AI generated UI components,https://github.com/raidendotai/openv0,generated UI components
EvalAI,:cloud: :rocket: :bar_chart: :chart_with_upwards_trend: Evaluating state of the art in AI,https://github.com/Cloud-CV/EvalAI,Evaluating state of the art in AI
data-formulator,🪄 Create rich visualizations with AI ,https://github.com/microsoft/data-formulator,Create rich visualizations with AI
AI-Optimizer,The next generation deep reinforcement learning tookit,https://github.com/TJU-DRL-LAB/AI-Optimizer,next generation deep reinforcement learning tookit
AIDungeon,Infinite adventures await!,https://github.com/latitudegames/AIDungeon,Infinite adventures await!
ai,Discover open-source projects on GitHub relevant to your skills (with ai).,https://github.com/open-sauced/ai,Discover open-source projects relevant to your skills (with ai).
awesome-generative-ai,A curated list of modern Generative Artificial Intelligence projects and services,https://github.com/steven2358/awesome-generative-ai,curated list of modern Generative Artificial Intelligence projects and services
ai-notes,"notes for software engineers getting up to speed on new AI developments. Serves as datastore for https://latent.space writing, and product brainstorming, but has cleaned up canonical references under the /Resources folder.",https://github.com/swyxio/ai-notes,"developments. Serves as datastore for writing, and product brainstorming, but has cleaned up canonical references under the Resources folder."
memfree,MemFree - Hybrid AI Search Engine & AI Page Generator,https://github.com/memfreeme/memfree,MemFree - Hybrid AI Search Engine & AI Page Generator
